Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code,Color_Variant
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/4-scene-controller-2-m-acwav009.html,,Standard,SKUACWAV009,10350.00,7245.00,N/A,N/A,Key Features Scene Controller with 4 touch points Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav009_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/bell-push-relay-2-m-acwan004.html,,Standard,SKUACWAN004,9825.00,6878.00,N/A,N/A,Key Features Smart Bell with Signia Blue indication Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwan004_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-channel-dimmer-2-m-acwav008.html,,Standard,SKUACWAV008,10638.00,7447.00,N/A,N/A,"Key Features Smart Two Channel Phase Cut Dimmer - Leading edge, 8 steps Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav008_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/20-a-relay-switch-2-m-acwav007.html,,Standard,SKUACWAV007,9831.00,6882.00,N/A,N/A,Key Features Smart Single Channel Power Switch which comes with high sensitivity touch keys and LED indicator on each button that lets you control your connected heavy load appliances. 1 Feather Touch 2 Module 20 A Switch Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav007_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/smart-fan-regulator-2-m-acwaw008.html,,Standard,SKUACWAW008,9990.00,6993.00,N/A,N/A,"Key Features Smart capacitive fan regulator which provides you high sensitivity touch keys with LED indicator on each button that lets you control your fan speed with 8 steps. Two module, 8-step fan regulator with ON/ OFF control. Capacitive regulator for low power consumption at low speeds. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaw008_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/4-channel-relay-switch-2-m-acwav006.html,,Standard,SKUACWAV006,8719.00,6104.00,N/A,N/A,Key Features Smart Four Channel Switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 4-in-1 Feather Touch 2 Module 4 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaj006_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-channel-relay-switch-2-m-acwav005.html,,Standard,SKUACWAV005,7350.00,5145.00,N/A,N/A,Key Features Smart Two Channel Switch with high sensitivity touch keys and LED indicator on each button that lets you control your connected appliances. 2-in-1 Feather Touch 2 Module 2 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwav005_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/4-scene-controller-white-2-m-acwak002.html,,Standard,SKUACWAK002,10350.00,9771.00,N/A,N/A,Key Features Scene Controller with 4 touch points Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwsc001_1200_1_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/bell-push-relay-white-2-m-acwan003.html,,Standard,SKUACWAN003,9825.00,9275.00,N/A,N/A,Key Features Smart Bell with Signia Blue indication Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwan001_1200_1_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/2-ch-dimmer-2-m-signia-smart-white-acwav004.html,,Standard,SKUACWAV004,10638.00,10042.00,N/A,N/A,"Key Features Smart two channel phase cut dimmer - Leading edge, 8 steps Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/d/i/dimmer_sw_signia_smart_white_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/curtain-relay-switch-acwak001.html,,Standard,SKUACWAK001,10819.00,10213.00,N/A,N/A,Key Features Smart Curtain switch with a built-in controller that provides you high sensitivity touch keys and LED indicator on each button. Designed to control movements of motorized curtains. 2 module drape/curtain motor control. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaa023_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/20-a-relay-switch-acwav003.html,,Standard,SKUACWAV003,9831.00,9281.00,N/A,N/A,Key Features Smart single channel power switch which comes with high sensitivity touch keys and LED indicator on each button that lets you control your connected heavy load appliances. 1 Feather Touch 2 Module 20 A Switch Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold. *Signia Smart Modules are compatible with Signia Grande Plates. Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwbd002_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/smart-fan-regulator-acwaw007.html,,Standard,SKUACWAW007,9990.00,9429.00,N/A,N/A,"Key Features Smart capacitive fan regulator which provides you high sensitivity touch keys with LED indicator on each button that lets you control your fan speed with 8 steps. Two module, 8-step fan regulator with ON/ OFF control. Capacitive regulator for low power consumption at low   speeds. Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/c/acwaw004_main_1.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
Havells,Smart_Home,smart-modular-switches,https://havells.com/crabtree/smart-home/smart-modular-switches/four-channel-relay-switch-acwav002.html,,Standard,SKUACWAV002,8719.00,8231.00,N/A,N/A,Key Features Smart four channel switch with high sensitivity   touch keys and LED indicator on each button that lets you control your connected appliances. 4-in-1 Feather Touch 2 Module 4 Switches Retrofit Solution Easy Installation Works with Wi-Fi (2.4 GHz) *Signia Smart Modules are separately sold Signia Smart Modules are compatible with Signia Grande Plates Disclaimer: Product Images are for illustrative purpose only and may be differ from the actual product.,https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/f/o/four_channel_relay_switch_1_.jpg,N/A,N/A,"isi, ul, Ce, ISI, ce, CE",onsWashing,India,N/A,
