Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Wattage_W,Capacity_L,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/proxima-90-chimney-t-shape-ghkcnbwk0.html,,Standard,SKUGHKCNBWK0,50595.00,26500.00,N/A,N/A,"Key Features 1700 m³/h suction for powerful performance Control operations with just a hand wave! Intuitive & colourful display for easy understanding Easy to use, convenient Interface Filterless, with heat auto clean function for efficient & effortless cleaning Lifetime (15 Years) warranty on Motors 5 Years comprehensive product warranty",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/r/proxima-base.jpg,N/A,N/A,N/A,N/A,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/proxima-60-chimney-t-shape-ghkcnbvk0.html,,Standard,SKUGHKCNBVK0,47495.00,23500.00,N/A,N/A,"Key Features 1600 m³/h suction for powerful performance Control operations with just a hand wave! Intuitive & colourful display for easy understanding Easy to use, convenient Interface Filterless, with heat auto clean function for efficient & effortless Cleaning Lifetime (15 Years) warranty on motors 5 Years Comprehensive product warranty",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/p/r/proxima-base_1.jpg,N/A,N/A,N/A,N/A,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/canis-neo-90-chimney-curve-shape-ghkcnbtk0.html,,Standard,SKUGHKCNBTK0,50195.00,27000.00,N/A,N/A,"Key Features 1600 m³/h suction for powerful performance Control operations with just a hand wave! Intuitive & colourful display for easy understanding Easy to use, convenient Interface Fetterless, with heat auto clean function For efficient & effortless cleaning Lifetime (15 Years) warranty on motors 5 Years comprehensive product warranty",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/a/canis-neo-base.jpg,N/A,N/A,N/A,N/A,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/canis-neo-60-chimney-curve-shape-ghkcnbrk0.html,,Standard,SKUGHKCNBRK0,47195.00,24000.00,N/A,N/A,"Key Features 1600 m³/h Suction for powerful performance Control operations with just a hand wave! Intuitive & colourful display for easy understanding Easy to use, convenient Interface for efficient & effortless cleaning Lifetime (15 Years) warranty on Motors 5 Years comprehensive product warranty",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/a/canis-neo-base_1.jpg,N/A,N/A,N/A,N/A,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/altair-plus-60-chimney-t-shape-ghkcnbqk0.html,,Standard,SKUGHKCNBQK0,30295.00,15550.00,N/A,N/A,"Key Features 1250 m³/h suction for powerful performance Control operations with just a hand wave! Easy to use, convenient Interface Filterless with heat auto clean function for efficient & effortless cleaning Lifetime (15 Years) warranty on Motors",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/l/altair-plus.jpg,N/A,N/A,N/A,N/A,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/avior-plus-60-chimney-curved-ghkcnbpk0.html,,Standard,SKUGHKCNBPK0,29495.00,14705.00,N/A,N/A,"Key Features 1,250 m³/h Suction for powerful performance Control operations with just a hand wave! Easy to use, convenient Interface Filter less, with heat auto clean function For efficient & effortless cleaning Lifetime (15 Years) warranty on Motors",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/v/avior_60.jpg,N/A,N/A,N/A,N/A,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/avior-90-chimney-curved-ghkcnbhk0.html,,Standard,SKUGHKCNBHK0,34995.00,18995.00,N/A,N/A,"Key Features Powerful Suction : 1250 m³/h Suction for Powerful performance Gesture Control : Control operations with just a hand wave! Touch control : easy to use, convenient Interface Filterless, with heat Autoclean function : For Efficient & Effortless Cleaning",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/v/avior_2.jpg,N/A,N/A,N/A,https://havells.com#productDownloads,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/alnair-90-chimney-t-shape-ghkcnbgk0.html,,Standard,SKUGHKCNBGK0,38295.00,20595.00,N/A,N/A,"Key Features Powerful Suction : 1250 m³/h Suction for Powerful performance Gesture Control : Control operations with just a hand wave! Touch control : easy to use, convenient Interface Filterless, with heat Autoclean function : For Efficient & Effortless Cleaning",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/l/alnair_2.jpg,N/A,N/A,N/A,https://havells.com#productDownloads,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/altair-90-chimney-t-shape-ghkcnbfk0.html,,Standard,SKUGHKCNBFK0,35095.00,18995.00,N/A,N/A,"Key Features Powerful Suction : 1250 m³/h Suction for Powerful performance Gesture Control : Control operations with just a hand wave! Touch control : easy to use, convenient Interface Filterless, with heat Autoclean function : For Efficient & Effortless Cleaning",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/l/altair_90_1.jpg,N/A,N/A,N/A,https://havells.com#productDownloads,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
Havells,Kitchen_Appliances,chimney,https://havells.com/home-appliances/chimney-hob-cooktop/chimney/deneb-60-chimney-curved-shape-ghkcnbak000.html,,Standard,SKUGHKCNBAK000,34195.00,17795.00,N/A,N/A,"Key Features Powerful Suction : 1250 m 3 /hr Suction for Powerful performance Gesture Control : Control operations with just a hand wave! Touch control : easy to use, convenient Interface Filterless, with heat Autoclean function : For Efficient & Effortless Cleaning",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/d/e/deneb_1.jpg,N/A,N/A,N/A,https://havells.com#productDownloads,"ISI, isi, ul, ce, Ce, CE",onsWashing,India,N/A
