Brand,Main_Category,Sub_Category,Source_URL,Model_Name,Variant_Description,SKU,MRP,Selling_Price,Dealer_Price,Approx_Price,Product_Description,Image_URL,Warranty,Datasheet_URL,Certifications,BIS_Registration,Country_of_Origin,HSN_Code
Havells,Power_Quality,power-capacitor,https://havells.com/business/for-industrial/power-quality-solutions/power-capacitor/torrent-qhutcc5010x0.html,,Standard,SKUQHUTCC5010X0,3945.00,3942.00,N/A,N/A,"Key Features Capacitor Rating  : The Rating is available from 0.5 kVAr to 50 kVAr & Other ratings are on request AC Voltages : Available in 440 V, 480 V, 525 V & 690 V. Other ratings are available on Request Over Current withstand Capacity : Comes with Over current withstand Capacity up to 1.6 times of Ir Peak Inrush Current Withstand : Peak insrush current with stand capacity is 250 times",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/t/o/torrent.jpg,N/A,N/A,"Ul, CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,power-capacitor,https://havells.com/business/for-industrial/power-quality-solutions/power-capacitor/warrior-qhbtcc5010x0.html,,Standard,SKUQHBTCC5010X0,3945.00,3942.00,N/A,N/A,"Key Features Capacitor Rating  : The Rating is available from 0.5 kVAr to 50 kVAr & Other ratings are on request AC Voltages : Available in 440 V, 480 V, 525 V & 690 V. Other ratings are available on Request Over Current withstand Capacity : Comes with Over current withstand Capacity up to 2.2 times of Ir Peak Inrush Current Withstand : Peak insrush current with stand capacity is 350 times",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/w/a/warrior.jpg,N/A,N/A,"Ul, CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,power-capacitor,https://havells.com/business/for-industrial/power-quality-solutions/power-capacitor/champ-qhbtmc5010x0.html,,Standard,SKUQHBTMC5010X0,4925.00,4921.00,N/A,N/A,"Key Features Capacitor Rating  : The Rating is available from 0.5 kVAr to 50 kVAr & Other ratings are on request AC Voltages : Available in 440 V, 480 V, 525 V & 690 V. Other ratings are available on Request Over Current withstand Capacity : Comes with Over current withstand Capacity up to 2.4 times of Ir Peak Inrush Current Withstand : Peak insrush current with stand capacity is 300 times",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/h/champ.jpg,N/A,N/A,"Ul, CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,power-capacitor,https://havells.com/business/for-industrial/power-quality-solutions/power-capacitor/champion-qhstmc5010x0.html,,Standard,SKUQHSTMC5010X0,3945.00,3942.00,N/A,N/A,"Key Features Capacitor Rating  : The Rating is available from 0.5 kVAr to 50 kVAr & Other ratings are on request AC Voltages : Available in 440 V, 480 V, 525 V & 690 V. Other ratings are available on Request Over Current withstand Capacity : Comes with Over current withstand Capacity up to 3.2 times of Ir Peak Inrush Current Withstand : Peak insrush current with stand capacity is 400 times",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/h/champion.jpg,N/A,N/A,"Ul, CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,power-capacitor,https://havells.com/business/for-industrial/power-quality-solutions/power-capacitor/agri-boost-qhatcb5010x0.html,,Standard,SKUQHATCB5010X0,3945.00,3942.00,N/A,N/A,"Key Features Capacitor Rating  : The Rating is available from 1 kVAr to 15 kVAr & Other ratings are on request AC Voltages : Available in 220 V, 415V 440 V, 480 V & 525 V . Other ratings are available on Request Over Current withstand Capacity : Comes with Over current withstand Capacity up to 1.3 times of Ir Peak Inrush Current Withstand : Peak insrush current with stand capacity is 200 times",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/g/agri_boost.jpg,N/A,N/A,"Ul, CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,power-capacitor,https://havells.com/business/for-industrial/power-quality-solutions/power-capacitor/master-master-plus-qhntmc5010x0.html,,Standard,SKUQHNTMC5010X0,3945.00,3942.00,N/A,N/A,"Key Features Capacitor Rating  : The Rating is available from 0.5 kVAr to 50 kVAr & Other ratings are on request AC Voltages : Available in 440 V, 480 V, 525 V & 690 V. Other ratings are available on Request Over Current withstand Capacity : Comes with Over current withstand Capacity up to 1.6 times of Ir Peak Inrush Current Withstand : Peak insrush current with stand capacity is 250 times",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/q/h/qhntmc5010x0_1.jpg,N/A,N/A,"Ul, CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,iot-ipfc-relay,https://havells.com/business/for-industrial/power-quality-solutions/iot-enabled-ipfc-relay/intelligent-power-factor-controller-qhotbs5h0008.html,,Standard,SKUQHOTBS5H0008,23250.00,23246.00,N/A,N/A,"Key Features Sensing : True kVAr sensing relay, Display : With multi function electrical parameter display - Voltage, Current, kW, kVA etc. Technology : Advance Micro Controller with Binary Intellegent Switching Aux. Supply : Wide Range SMPS with 90 V - 550 V as Aux. Supply Steps : Available in 8 & 12",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/1/0/1003_with_out_gsm.jpg,N/A,N/A,"CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,iot-ipfc-relay,https://havells.com/business/for-industrial/power-quality-solutions/iot-enabled-ipfc-relay/1003-with-gsm-qhotbs5h0012.html,,Standard,SKUQHOTBS5H0012,29000.00,28999.00,N/A,N/A,"Key Features Sensing : True kVAr sensing relay Technology : Advance Micro Controller with Binary Intellegent Switching Communication : with GSM, IOT Enabled & with RS 485 Modbus RTU Steps : Available in 8, 12 & 16",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/q/h/qhotbs5h0012_main_1.jpg,N/A,N/A,"CE, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,hd-harmonic-reactor,https://havells.com/business/for-industrial/power-quality-solutions/hd-harmonic-detuned-reactor/harmonic-detuned-reactor-copper-qhctlcv010x0.html,,Standard,SKUQHCTLCV010X0,21135.00,21134.00,N/A,N/A,"Key Features Winding Type : High Grade Copper Range : 1 kVAr to 100 kVAr Filtering Factor : 5.67 % , 7 % & 14 % other ratings are on request Linearity : Available from 185 % to 225 %, Protection : Temperature protection-NC contact (UL - approved)",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/c/o/copper_winding.jpg,N/A,N/A,"CE, UL, ISI, ul, ce, isi",ON,India,N/A
Havells,Power_Quality,hd-harmonic-reactor,https://havells.com/business/for-industrial/power-quality-solutions/hd-harmonic-detuned-reactor/harmonic-detuned-reactor-aluminum-qhltlcv010x0.html,,Standard,SKUQHLTLCV010X0,14100.00,14096.00,N/A,N/A,"Key Features Winding Type : High Quality Aluiminum Range : 1 kVAr to 100 kVAr Filtering Factor : 5.67 % , 7 % & 14 % other ratings are on request Linearity : Available from 185 % to 225 %, Protection : Temperature protection-NC contact (UL - approved)",https://havells.com/media/catalog/product/cache/844a913d283fe95e56e39582c5f2767b/a/l/aluminum_winding.jpg,N/A,N/A,"CE, UL, ISI, ul, ce, isi",ON,India,N/A
